Group	Words
791	oxeneforda oxenefordia oxenefordam
792	contulerint contulerunt contulerit
793	pirianforda pyrianforda
794	transmarinos transmarinis
795	westewardan westeweardan
796	recuperatiua recuperativa
797	flemeneferd flemmeneferd
798	honorificae honorificas honorificam honorifice
799	wincelecumbe wincelcumbe
800	croylandensi croylandense croylandensis croilandensi
801	locupletari locupletare
802	kinewaldgraue kinewaldgraues
803	calliditatis calliditati
804	indulgenciam indulgencia indulgentiam
805	compilator compilatore
806	clementissimi clementissima
807	atheldredus etheldredus athelredus aetheldredus
808	denunciamus denuntiamus
809	consentanium consentaneum
810	hinfangeneteof hinfangenetof infangeneteof
811	dunstonuila dunstanuila
812	conuertendas conuertendam conuertandas conuertenda conuertendos conuertendis
813	piscarisque piscarioque piscariisque
814	presbiteri presbiteris presbiterii
815	infangentef infangetef infangenetef infangantef infangenteof infangintef infangenteif infongentef
816	sanctimonialum sanctimonialium
817	wigerceastrescire wigercestrescire wigeraceastrescire
818	perfruenda perfruendas perfruendam
819	precationem predationem precatione
820	indempnitate indempnitati indempnitatem
821	comprehensa comprehensam
822	derivativis dirivativis
823	aquietauimus aquietabimus adquietauimus
824	herefordia herefordiam
825	occasionibus ocasionibus
826	suggestiones suggestionem suggestione
827	iurisperitorum jurisperitorum
828	requireret requirerent
829	prevaricationem preuaricationem prævaricationem prevaricacionem
830	damnationis dampnationis
831	suscipientes suscipiente
832	flimenesfirmðe flemenesfirmðe
833	contentionibus conuentionibus
834	antecessori antecesori
835	herefordiensis herefordensis herfordiensis
836	massehakele messehakele
837	bempsintona bemsintona
838	definiuntur difiniuntur
839	constituerunt constituerant constituerent
840	cognoscere cognoscerem
841	abiuraueram abiurauerat
842	retributori retributore
843	contineantur continebantur contineatur continentur
844	mensintune mensingtune
